Model,Split,Epoch,fit_time,pred_time,peak_gpu_mem_fit,peak_gpu_mem_infer,metric_type,precision,recall,f1,accuracy,class_name
XGB,val_0,0,1.3224472999572754,0.05623745918273926,1180.0,1152.0,train,1.0,1.0,1.0,1.0,weighted
XGB,val_0,0,1.3224472999572754,0.05623745918273926,1180.0,1152.0,val,0.6716291910793746,0.6706730769230769,0.6707995469210828,0.6706730769230769,weighted
XGB,val_0,0,1.3224472999572754,0.05623745918273926,1180.0,1152.0,train,1.0,1.0,1.0,1.0,class_0
XGB,val_0,0,1.3224472999572754,0.05623745918273926,1180.0,1152.0,val,0.6903225806451613,0.6369047619047619,0.6625386996904025,0.8689903846153846,class_0
XGB,val_0,0,1.3224472999572754,0.05623745918273926,1180.0,1152.0,train,1.0,1.0,1.0,1.0,class_1
XGB,val_0,0,1.3224472999572754,0.05623745918273926,1180.0,1152.0,val,0.6176470588235294,0.6521739130434783,0.6344410876132931,0.8545673076923077,class_1
XGB,val_0,0,1.3224472999572754,0.05623745918273926,1180.0,1152.0,train,1.0,1.0,1.0,1.0,class_2
XGB,val_0,0,1.3224472999572754,0.05623745918273926,1180.0,1152.0,val,0.656934306569343,0.656934306569343,0.656934306569343,0.8870192307692307,class_2
XGB,val_0,0,1.3224472999572754,0.05623745918273926,1180.0,1152.0,train,1.0,1.0,1.0,1.0,class_3
XGB,val_0,0,1.3224472999572754,0.05623745918273926,1180.0,1152.0,val,0.7111111111111111,0.7032967032967034,0.7071823204419889,0.8725961538461539,class_3
XGB,val_0,0,1.3224472999572754,0.05623745918273926,1180.0,1152.0,train,1.0,1.0,1.0,1.0,class_4
XGB,val_0,0,1.3224472999572754,0.05623745918273926,1180.0,1152.0,val,0.6736842105263158,0.6956521739130435,0.6844919786096256,0.8581730769230769,class_4
XGB,val_1,0,0.5211336612701416,0.010479927062988281,1180.0,1148.0,train,0.9996998892075648,0.9996994289149383,0.9996994349364461,0.9996994289149383,weighted
XGB,val_1,0,0.5211336612701416,0.010479927062988281,1180.0,1148.0,val,0.6798150613389089,0.6766826923076923,0.6771796060857367,0.6766826923076923,weighted
XGB,val_1,0,0.5211336612701416,0.010479927062988281,1180.0,1148.0,train,0.998468606431853,1.0,0.9992337164750957,0.9996994289149383,class_0
XGB,val_1,0,0.5211336612701416,0.010479927062988281,1180.0,1148.0,val,0.7183908045977011,0.7062146892655368,0.7122507122507122,0.8786057692307693,class_0
XGB,val_1,0,0.5211336612701416,0.010479927062988281,1180.0,1148.0,train,1.0,1.0,1.0,1.0,class_1
XGB,val_1,0,0.5211336612701416,0.010479927062988281,1180.0,1148.0,val,0.7025316455696202,0.6306818181818182,0.6646706586826348,0.8653846153846154,class_1
XGB,val_1,0,0.5211336612701416,0.010479927062988281,1180.0,1148.0,train,1.0,1.0,1.0,1.0,class_2
XGB,val_1,0,0.5211336612701416,0.010479927062988281,1180.0,1148.0,val,0.6075949367088608,0.6808510638297872,0.6421404682274248,0.8713942307692307,class_2
XGB,val_1,0,0.5211336612701416,0.010479927062988281,1180.0,1148.0,train,1.0,0.9985486211901307,0.9992737835875091,0.9996994289149383,class_3
XGB,val_1,0,0.5211336612701416,0.010479927062988281,1180.0,1148.0,val,0.7134502923976608,0.6777777777777778,0.6951566951566952,0.8713942307692307,class_3
XGB,val_1,0,0.5211336612701416,0.010479927062988281,1180.0,1148.0,train,1.0,1.0,1.0,1.0,class_4
XGB,val_1,0,0.5211336612701416,0.010479927062988281,1180.0,1148.0,val,0.6374269005847953,0.689873417721519,0.662613981762918,0.8665865384615384,class_4
XGB,val_2,0,0.5980062484741211,0.015578508377075195,1180.0,1148.0,train,1.0,1.0,1.0,1.0,weighted
XGB,val_2,0,0.5980062484741211,0.015578508377075195,1180.0,1148.0,val,0.6653178722401315,0.6646634615384616,0.6643780791704825,0.6646634615384616,weighted
XGB,val_2,0,0.5980062484741211,0.015578508377075195,1180.0,1148.0,train,1.0,1.0,1.0,1.0,class_0
XGB,val_2,0,0.5980062484741211,0.015578508377075195,1180.0,1148.0,val,0.6288659793814433,0.6594594594594595,0.6437994722955145,0.8377403846153846,class_0
XGB,val_2,0,0.5980062484741211,0.015578508377075195,1180.0,1148.0,train,1.0,1.0,1.0,1.0,class_1
XGB,val_2,0,0.5980062484741211,0.015578508377075195,1180.0,1148.0,val,0.6382978723404256,0.6040268456375839,0.6206896551724138,0.8677884615384616,class_1
XGB,val_2,0,0.5980062484741211,0.015578508377075195,1180.0,1148.0,train,1.0,1.0,1.0,1.0,class_2
XGB,val_2,0,0.5980062484741211,0.015578508377075195,1180.0,1148.0,val,0.7052023121387283,0.6815642458100558,0.6931818181818182,0.8701923076923077,class_2
XGB,val_2,0,0.5980062484741211,0.015578508377075195,1180.0,1148.0,train,1.0,1.0,1.0,1.0,class_3
XGB,val_2,0,0.5980062484741211,0.015578508377075195,1180.0,1148.0,val,0.6666666666666666,0.7295597484276729,0.6966966966966966,0.8786057692307693,class_3
XGB,val_2,0,0.5980062484741211,0.015578508377075195,1180.0,1148.0,train,1.0,1.0,1.0,1.0,class_4
XGB,val_2,0,0.5980062484741211,0.015578508377075195,1180.0,1148.0,val,0.6866666666666666,0.64375,0.6645161290322581,0.875,class_4
XGB,val_3,0,0.5570745468139648,0.017764806747436523,1180.0,1148.0,train,1.0,1.0,1.0,1.0,weighted
XGB,val_3,0,0.5570745468139648,0.017764806747436523,1180.0,1148.0,val,0.6884492659704953,0.6887019230769231,0.6882485451416064,0.6887019230769231,weighted
XGB,val_3,0,0.5570745468139648,0.017764806747436523,1180.0,1148.0,train,1.0,1.0,1.0,1.0,class_0
XGB,val_3,0,0.5570745468139648,0.017764806747436523,1180.0,1148.0,val,0.6402877697841727,0.5894039735099338,0.6137931034482759,0.8653846153846154,class_0
XGB,val_3,0,0.5570745468139648,0.017764806747436523,1180.0,1148.0,train,1.0,1.0,1.0,1.0,class_1
XGB,val_3,0,0.5570745468139648,0.017764806747436523,1180.0,1148.0,val,0.6857142857142857,0.7100591715976331,0.6976744186046512,0.875,class_1
XGB,val_3,0,0.5570745468139648,0.017764806747436523,1180.0,1148.0,train,1.0,1.0,1.0,1.0,class_2
XGB,val_3,0,0.5570745468139648,0.017764806747436523,1180.0,1148.0,val,0.6687116564417178,0.6987179487179487,0.6833855799373041,0.8786057692307693,class_2
XGB,val_3,0,0.5570745468139648,0.017764806747436523,1180.0,1148.0,train,1.0,1.0,1.0,1.0,class_3
XGB,val_3,0,0.5570745468139648,0.017764806747436523,1180.0,1148.0,val,0.6935483870967742,0.7049180327868853,0.6991869918699187,0.8665865384615384,class_3
XGB,val_3,0,0.5570745468139648,0.017764806747436523,1180.0,1148.0,train,1.0,1.0,1.0,1.0,class_4
XGB,val_3,0,0.5570745468139648,0.017764806747436523,1180.0,1148.0,val,0.7455621301775148,0.7283236994219653,0.7368421052631579,0.8918269230769231,class_4
XGB,val_4,0,0.5537929534912109,0.019263029098510742,1180.0,1148.0,train,0.9993997477755601,0.9993988578298768,0.9993986467566016,0.9993988578298768,weighted
XGB,val_4,0,0.5537929534912109,0.019263029098510742,1180.0,1148.0,val,0.6796430327972119,0.6778846153846154,0.6779126167129882,0.6778846153846154,weighted
XGB,val_4,0,0.5537929534912109,0.019263029098510742,1180.0,1148.0,train,0.9985119047619048,1.0,0.9992553983618764,0.9996994289149383,class_0
XGB,val_4,0,0.5537929534912109,0.019263029098510742,1180.0,1148.0,val,0.6265060240963856,0.6582278481012658,0.6419753086419753,0.8605769230769231,class_0
XGB,val_4,0,0.5537929534912109,0.019263029098510742,1180.0,1148.0,train,0.9985272459499264,1.0,0.9992630803242447,0.9996994289149383,class_1
XGB,val_4,0,0.5537929534912109,0.019263029098510742,1180.0,1148.0,val,0.6845238095238095,0.688622754491018,0.6865671641791045,0.8737980769230769,class_1
XGB,val_4,0,0.5537929534912109,0.019263029098510742,1180.0,1148.0,train,1.0,1.0,1.0,1.0,class_2
XGB,val_4,0,0.5537929534912109,0.019263029098510742,1180.0,1148.0,val,0.6685714285714286,0.7177914110429447,0.6923076923076923,0.875,class_2
XGB,val_4,0,0.5537929534912109,0.019263029098510742,1180.0,1148.0,train,1.0,0.9971181556195965,0.9985569985569985,0.9993988578298768,class_3
XGB,val_4,0,0.5537929534912109,0.019263029098510742,1180.0,1148.0,val,0.6914285714285714,0.6914285714285714,0.6914285714285714,0.8701923076923077,class_3
XGB,val_4,0,0.5537929534912109,0.019263029098510742,1180.0,1148.0,train,1.0,1.0,1.0,1.0,class_4
XGB,val_4,0,0.5537929534912109,0.019263029098510742,1180.0,1148.0,val,0.722972972972973,0.6331360946745562,0.6750788643533123,0.8762019230769231,class_4
XGB,test_0,0,0.5494275093078613,0.012215852737426758,1180.0,1148.0,train,0.9983209140058719,0.9983169031017072,0.9983173178155585,0.9983169031017072,weighted
XGB,test_0,0,0.5494275093078613,0.012215852737426758,1180.0,1148.0,val,0.732957307957308,0.7323232323232324,0.7317770685560047,0.7323232323232324,weighted
XGB,test_0,0,0.5494275093078613,0.012215852737426758,1180.0,1148.0,train,0.9963898916967509,0.9987937273823885,0.9975903614457832,0.9990382303438327,class_0
XGB,test_0,0,0.5494275093078613,0.012215852737426758,1180.0,1148.0,val,0.7380952380952381,0.6888888888888889,0.7126436781609196,0.8737373737373737,class_0
XGB,test_0,0,0.5494275093078613,0.012215852737426758,1180.0,1148.0,train,0.9964622641509434,1.0,0.9982279976373302,0.9992786727578745,class_1
XGB,test_0,0,0.5494275093078613,0.012215852737426758,1180.0,1148.0,val,0.7027027027027027,0.7428571428571429,0.7222222222222222,0.898989898989899,class_1
XGB,test_0,0,0.5494275093078613,0.012215852737426758,1180.0,1148.0,train,1.0,0.9974747474747475,0.9987357774968394,0.9995191151719163,class_2
XGB,test_0,0,0.5494275093078613,0.012215852737426758,1180.0,1148.0,val,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.898989898989899,class_2
XGB,test_0,0,0.5494275093078613,0.012215852737426758,1180.0,1148.0,train,0.9988479262672811,0.997698504027618,0.998272884283247,0.9992786727578745,class_3
XGB,test_0,0,0.5494275093078613,0.012215852737426758,1180.0,1148.0,val,0.75,0.6923076923076923,0.72,0.8939393939393939,class_3
XGB,test_0,0,0.5494275093078613,0.012215852737426758,1180.0,1148.0,train,1.0,0.9975728155339806,0.9987849331713244,0.9995191151719163,class_4
XGB,test_0,0,0.5494275093078613,0.012215852737426758,1180.0,1148.0,val,0.7333333333333333,0.8048780487804879,0.7674418604651163,0.898989898989899,class_4
XGB,test_1,0,0.5373380184173584,0.011217117309570312,1180.0,1148.0,train,0.9983209140058719,0.9983169031017072,0.9983173178155585,0.9983169031017072,weighted
XGB,test_1,0,0.5373380184173584,0.011217117309570312,1180.0,1148.0,val,0.732957307957308,0.7323232323232324,0.7317770685560047,0.7323232323232324,weighted
XGB,test_1,0,0.5373380184173584,0.011217117309570312,1180.0,1148.0,train,0.9963898916967509,0.9987937273823885,0.9975903614457832,0.9990382303438327,class_0
XGB,test_1,0,0.5373380184173584,0.011217117309570312,1180.0,1148.0,val,0.7380952380952381,0.6888888888888889,0.7126436781609196,0.8737373737373737,class_0
XGB,test_1,0,0.5373380184173584,0.011217117309570312,1180.0,1148.0,train,0.9964622641509434,1.0,0.9982279976373302,0.9992786727578745,class_1
