Model,Split,Epoch,fit_time,pred_time,peak_gpu_mem_fit,peak_gpu_mem_infer,metric_type,precision,recall,f1,accuracy,class_name
CoTM,val_0,0,3.0000016689300537,0.10871505737304688,546.0,546.0,train,0.6143104528603689,0.6101593026750827,0.610248208919669,0.6101593026750827,weighted
CoTM,val_0,0,3.0000016689300537,0.10871505737304688,546.0,546.0,val,0.5700107723300429,0.5697115384615384,0.5669357077873365,0.5697115384615384,weighted
CoTM,val_0,0,3.0000016689300537,0.10871505737304688,546.0,546.0,train,0.6630630630630631,0.540381791483113,0.5954692556634305,0.8497144574691915,class_0
CoTM,val_0,0,3.0000016689300537,0.10871505737304688,546.0,546.0,val,0.5789473684210527,0.4425287356321839,0.501628664495114,0.8161057692307693,class_0
CoTM,val_0,0,3.0000016689300537,0.10871505737304688,546.0,546.0,train,0.6056971514242878,0.6149162861491628,0.6102719033232629,0.8449053201082056,class_1
CoTM,val_0,0,3.0000016689300537,0.10871505737304688,546.0,546.0,val,0.5279503105590062,0.53125,0.5295950155763239,0.8185096153846154,class_1
CoTM,val_0,0,3.0000016689300537,0.10871505737304688,546.0,546.0,train,0.6032689450222882,0.6314152410575428,0.6170212765957447,0.848512173128945,class_2
CoTM,val_0,0,3.0000016689300537,0.10871505737304688,546.0,546.0,val,0.5958904109589042,0.5761589403973509,0.5858585858585859,0.8521634615384616,class_2
CoTM,val_0,0,3.0000016689300537,0.10871505737304688,546.0,546.0,train,0.646795827123696,0.6308139534883721,0.6387049300956585,0.852419597234746,class_3
CoTM,val_0,0,3.0000016689300537,0.10871505737304688,546.0,546.0,val,0.5597826086956522,0.6167664670658682,0.5868945868945868,0.8257211538461539,class_3
CoTM,val_0,0,3.0000016689300537,0.10871505737304688,546.0,546.0,train,0.5492772667542707,0.6352583586626139,0.5891472868217055,0.8247670574090773,class_4
CoTM,val_0,0,3.0000016689300537,0.10871505737304688,546.0,546.0,val,0.5865384615384616,0.6777777777777778,0.6288659793814433,0.8269230769230769,class_4
CoTM,val_0,1,0.7280499935150146,0.10868668556213379,550.0,550.0,train,0.621078763956555,0.6185752930568079,0.6189404081644125,0.6185752930568079,weighted
CoTM,val_0,1,0.7280499935150146,0.10868668556213379,550.0,550.0,val,0.5829702240894797,0.5841346153846154,0.5821939311157827,0.5841346153846154,weighted
CoTM,val_0,1,0.7280499935150146,0.10868668556213379,550.0,550.0,train,0.6655574043261231,0.5873715124816447,0.62402496099844,0.8551247370003006,class_0
CoTM,val_0,1,0.7280499935150146,0.10868668556213379,550.0,550.0,val,0.5608108108108109,0.47701149425287354,0.515527950310559,0.8125,class_0
CoTM,val_0,1,0.7280499935150146,0.10868668556213379,550.0,550.0,train,0.6197836166924265,0.6103500761035008,0.6150306748466258,0.8491133152990682,class_1
CoTM,val_0,1,0.7280499935150146,0.10868668556213379,550.0,550.0,val,0.5576923076923077,0.54375,0.5506329113924051,0.8293269230769231,class_1
CoTM,val_0,1,0.7280499935150146,0.10868668556213379,550.0,550.0,train,0.614329268292683,0.6267496111975117,0.6204772902232486,0.8518184550646228,class_2
CoTM,val_0,1,0.7280499935150146,0.10868668556213379,550.0,550.0,val,0.6095890410958904,0.5894039735099338,0.5993265993265994,0.8569711538461539,class_2
CoTM,val_0,1,0.7280499935150146,0.10868668556213379,550.0,550.0,train,0.6419213973799127,0.6409883720930233,0.6414545454545455,0.8518184550646228,class_3
CoTM,val_0,1,0.7280499935150146,0.10868668556213379,550.0,550.0,val,0.5737704918032787,0.6287425149700598,0.6,0.8317307692307693,class_3
CoTM,val_0,1,0.7280499935150146,0.10868668556213379,550.0,550.0,train,0.561141304347826,0.6276595744680851,0.5925394548063128,0.8292756236850015,class_4
CoTM,val_0,1,0.7280499935150146,0.10868668556213379,550.0,550.0,val,0.6130653266331658,0.6777777777777778,0.6437994722955145,0.8377403846153846,class_4
CoTM,val_0,2,0.7242577075958252,0.1092832088470459,548.0,548.0,train,0.6242276300339651,0.6227832882476706,0.6230747927362814,0.6227832882476706,weighted
CoTM,val_0,2,0.7242577075958252,0.1092832088470459,548.0,548.0,val,0.5845474214905964,0.5853365384615384,0.5840052030966567,0.5853365384615384,weighted
CoTM,val_0,2,0.7242577075958252,0.1092832088470459,548.0,548.0,train,0.6650563607085346,0.6064610866372981,0.6344086021505376,0.8569281635106702,class_0
CoTM,val_0,2,0.7242577075958252,0.1092832088470459,548.0,548.0,val,0.56,0.4827586206896552,0.5185185185185185,0.8125,class_0
CoTM,val_0,2,0.7242577075958252,0.1092832088470459,548.0,548.0,train,0.6153846153846154,0.6210045662100456,0.6181818181818182,0.848512173128945,class_1
CoTM,val_0,2,0.7242577075958252,0.1092832088470459,548.0,548.0,val,0.5521472392638037,0.5625,0.5572755417956656,0.828125,class_1
CoTM,val_0,2,0.7242577075958252,0.1092832088470459,548.0,548.0,train,0.6149162861491628,0.6283048211508554,0.6215384615384615,0.8521190261496844,class_2
CoTM,val_0,2,0.7242577075958252,0.1092832088470459,548.0,548.0,val,0.6013513513513513,0.5894039735099338,0.5953177257525084,0.8545673076923077,class_2
CoTM,val_0,2,0.7242577075958252,0.1092832088470459,548.0,548.0,train,0.6436950146627566,0.6380813953488372,0.6408759124087591,0.8521190261496844,class_3
CoTM,val_0,2,0.7242577075958252,0.1092832088470459,548.0,548.0,val,0.5737704918032787,0.6287425149700598,0.6,0.8317307692307693,class_3
CoTM,val_0,2,0.7242577075958252,0.1092832088470459,548.0,548.0,train,0.5795454545454546,0.6200607902735562,0.5991189427312775,0.8358881875563571,class_4
CoTM,val_0,2,0.7242577075958252,0.1092832088470459,548.0,548.0,val,0.6329787234042553,0.6611111111111111,0.6467391304347826,0.84375,class_4
CoTM,val_0,3,0.7165391445159912,0.10844850540161133,548.0,548.0,train,0.6241396973990757,0.6227832882476706,0.623030669931583,0.6227832882476706,weighted
CoTM,val_0,3,0.7165391445159912,0.10844850540161133,548.0,548.0,val,0.5831173276151828,0.5829326923076923,0.5818942800490159,0.5829326923076923,weighted
CoTM,val_0,3,0.7165391445159912,0.10844850540161133,548.0,548.0,train,0.6639741518578353,0.6035242290748899,0.6323076923076923,0.8563270213405471,class_0
CoTM,val_0,3,0.7165391445159912,0.10844850540161133,548.0,548.0,val,0.5753424657534246,0.4827586206896552,0.525,0.8173076923076923,class_0
CoTM,val_0,3,0.7165391445159912,0.10844850540161133,548.0,548.0,train,0.6130952380952381,0.6270928462709284,0.6200150489089541,0.8482116020438834,class_1
CoTM,val_0,3,0.7165391445159912,0.10844850540161133,548.0,548.0,val,0.5294117647058824,0.5625,0.5454545454545454,0.8197115384615384,class_1
CoTM,val_0,3,0.7165391445159912,0.10844850540161133,548.0,548.0,train,0.6102719033232629,0.6283048211508554,0.6191570881226054,0.8506161707243763,class_2
CoTM,val_0,3,0.7165391445159912,0.10844850540161133,548.0,548.0,val,0.5855263157894737,0.5894039735099338,0.5874587458745875,0.8497596153846154,class_2
CoTM,val_0,3,0.7165391445159912,0.10844850540161133,548.0,548.0,train,0.6450662739322534,0.6366279069767442,0.6408193123628383,0.852419597234746,class_3
CoTM,val_0,3,0.7165391445159912,0.10844850540161133,548.0,548.0,val,0.5777777777777777,0.6227544910179641,0.5994236311239193,0.8329326923076923,class_3
CoTM,val_0,3,0.7165391445159912,0.10844850540161133,548.0,548.0,train,0.5856115107913669,0.6185410334346505,0.6016260162601627,0.8379921851517884,class_4
CoTM,val_0,3,0.7165391445159912,0.10844850540161133,548.0,548.0,val,0.6413043478260869,0.6555555555555556,0.6483516483516484,0.8461538461538461,class_4
CoTM,val_0,4,0.7168066501617432,0.10857772827148438,548.0,548.0,train,0.6220021587778609,0.6212804328223624,0.6214169761434166,0.6212804328223624,weighted
CoTM,val_0,4,0.7168066501617432,0.10857772827148438,548.0,548.0,val,0.5842339110375413,0.5841346153846154,0.5833299411629143,0.5841346153846154,weighted
CoTM,val_0,4,0.7168066501617432,0.10857772827148438,548.0,548.0,train,0.6509433962264151,0.6079295154185022,0.6287015945330297,0.8530207394048692,class_0
CoTM,val_0,4,0.7168066501617432,0.10857772827148438,548.0,548.0,val,0.5733333333333334,0.4942528735632184,0.5308641975308642,0.8173076923076923,class_0
CoTM,val_0,4,0.7168066501617432,0.10857772827148438,548.0,548.0,train,0.6136363636363636,0.6164383561643836,0.6150341685649203,0.8476104598737602,class_1
CoTM,val_0,4,0.7168066501617432,0.10857772827148438,548.0,548.0,val,0.5421686746987951,0.5625,0.5521472392638037,0.8245192307692307,class_1
CoTM,val_0,4,0.7168066501617432,0.10857772827148438,548.0,548.0,train,0.6075187969924812,0.6283048211508554,0.617737003058104,0.8497144574691915,class_2
CoTM,val_0,4,0.7168066501617432,0.10857772827148438,548.0,548.0,val,0.577922077922078,0.5894039735099338,0.5836065573770491,0.8473557692307693,class_2
CoTM,val_0,4,0.7168066501617432,0.10857772827148438,548.0,548.0,train,0.6418128654970761,0.6380813953488372,0.6399416909620991,0.8515178839795612,class_3
CoTM,val_0,4,0.7168066501617432,0.10857772827148438,548.0,548.0,val,0.574585635359116,0.6227544910179641,0.5977011494252874,0.8317307692307693,class_3
CoTM,val_0,4,0.7168066501617432,0.10857772827148438,548.0,548.0,train,0.593841642228739,0.6155015197568389,0.6044776119402985,0.840697324917343,class_4
CoTM,val_0,4,0.7168066501617432,0.10857772827148438,548.0,548.0,val,0.6464088397790055,0.65,0.6481994459833795,0.8473557692307693,class_4
CoTM,val_0,5,0.7120206356048584,0.10828137397766113,548.0,548.0,train,0.6223700821107248,0.6215810039074241,0.6217557037838953,0.6215810039074241,weighted
CoTM,val_0,5,0.7120206356048584,0.10828137397766113,548.0,548.0,val,0.584130136254328,0.5841346153846154,0.5835834089889947,0.5841346153846154,weighted
CoTM,val_0,5,0.7120206356048584,0.10828137397766113,548.0,548.0,train,0.6520376175548589,0.6108663729809104,0.6307808946171342,0.8536218815749925,class_0
CoTM,val_0,5,0.7120206356048584,0.10828137397766113,548.0,548.0,val,0.5576923076923077,0.5,0.5272727272727272,0.8125,class_0
CoTM,val_0,5,0.7120206356048584,0.10828137397766113,548.0,548.0,train,0.6104477611940299,0.6225266362252664,0.6164280331574982,0.8470093177036369,class_1
CoTM,val_0,5,0.7120206356048584,0.10828137397766113,548.0,548.0,val,0.5389221556886228,0.5625,0.5504587155963303,0.8233173076923077,class_1
CoTM,val_0,5,0.7120206356048584,0.10828137397766113,548.0,548.0,train,0.6072507552870091,0.6251944012441679,0.6160919540229886,0.8494138863841298,class_2
CoTM,val_0,5,0.7120206356048584,0.10828137397766113,548.0,548.0,val,0.5933333333333334,0.5894039735099338,0.5913621262458472,0.8521634615384616,class_2
CoTM,val_0,5,0.7120206356048584,0.10828137397766113,548.0,548.0,train,0.6449704142011834,0.6337209302325582,0.6392961876832844,0.8521190261496844,class_3
