0,1,2,3,4
0.52,0.556,0.515,0.521,0.551
0.5475,0.5795,0.5635,0.553,0.57
0.5765,0.5985,0.5935,0.5815,0.57
0.617,0.6115,0.633,0.6025,0.5935
0.642,0.619,0.6535,0.625,0.633
0.641,0.617,0.65,0.621,0.632
0.6395,0.6165,0.6485,0.6275,0.626
0.64,0.6365,0.683,0.631,0.6405
0.6425,0.6445,0.6975,0.6285,0.6685
0.651,0.6635,0.6735,0.655,0.675
0.6095,0.658,0.6985,0.64,0.685
0.644,0.664,0.694,0.682,0.704
0.6305,0.6525,0.688,0.6455,0.677
0.6375,0.65,0.6835,0.6655,0.6735
0.6655,0.6675,0.682,0.646,0.6865
0.6505,0.665,0.693,0.648,0.6855
0.6595,0.657,0.6805,0.658,0.699
0.6435,0.6565,0.7025,0.6625,0.695
0.6425,0.6515,0.6905,0.6755,0.7015
0.654,0.659,0.6835,0.6835,0.7045
0.658,0.659,0.6815,0.6695,0.704
0.654,0.634,0.6845,0.659,0.71
0.658,0.649,0.6905,0.667,0.74
0.637,0.645,0.6865,0.6535,0.7455
0.655,0.6565,0.7005,0.661,0.7595
0.653,0.6575,0.693,0.6855,0.7565
0.65,0.6595,0.7115,0.683,0.754
0.648,0.669,0.705,0.6725,0.753
0.6505,0.6635,0.693,0.6465,0.7835
0.65,0.665,0.701,0.6795,0.7615
0.644,0.6735,0.706,0.6605,0.779
0.654,0.6745,0.69,0.6695,0.775
0.6695,0.6745,0.708,0.6605,0.754
0.673,0.6725,0.705,0.639,0.7735
0.67,0.6555,0.712,0.6815,0.775
0.6845,0.672,0.7045,0.6915,0.7735
0.6625,0.666,0.699,0.6715,0.773
0.655,0.6825,0.704,0.672,0.792
0.6585,0.6515,0.6945,0.673,0.7835
0.673,0.6835,0.704,0.681,0.78
0.6525,0.684,0.706,0.662,0.7945
0.656,0.709,0.7165,0.6655,0.804
0.668,0.704,0.7,0.6565,0.819
0.6495,0.7005,0.708,0.71,0.803
0.657,0.7,0.7135,0.6845,0.782
0.6825,0.692,0.7265,0.674,0.7935
0.6675,0.713,0.721,0.6975,0.7665
0.6785,0.7065,0.6975,0.672,0.8305
0.6755,0.7075,0.6925,0.6855,0.648
0.681,0.6905,0.689,0.699,0.768
