0,1,2,3,4
0.9889,0.9871,0.9897,0.9897,0.9893
0.99,0.99,0.99,0.99,0.9895
0.99,0.99,0.9883,0.9896,0.99
0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.9898,0.99
0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99
0.9895,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.9894,0.99,0.99
0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.9897,0.99,0.99
0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99
0.99,0.9894,0.99,0.99,0.99
0.99,0.99,0.99,0.99,0.99
