0,1,2,3,4
0.8023,0.7978,0.8703,0.8284,0.8763
0.9398,0.9412,0.928,0.9165,0.94
0.9448,0.9276,0.9375,0.9405,0.9457
0.9438,0.9452,0.9427,0.9459,0.9476
0.9455,0.9516,0.9501,0.9422,0.9464
0.9511,0.9491,0.9486,0.9448,0.9478
0.95,0.9517,0.9511,0.9505,0.9519
0.9512,0.9516,0.9511,0.9498,0.9476
0.9503,0.9507,0.9507,0.9504,0.9487
0.952,0.9488,0.952,0.9508,0.9507
0.9512,0.9504,0.9491,0.9502,0.9518
0.9507,0.9497,0.9505,0.9506,0.9516
0.9517,0.9502,0.9524,0.9523,0.9498
0.9517,0.9518,0.9515,0.9517,0.951
0.952,0.95,0.9515,0.9523,0.9516
0.9523,0.9505,0.9512,0.9522,0.9512
0.9502,0.9488,0.952,0.9517,0.9524
0.9515,0.9504,0.9502,0.9505,0.9473
0.9517,0.9514,0.9519,0.951,0.9505
0.9508,0.9508,0.9514,0.9515,0.9518
0.952,0.9517,0.9501,0.9527,0.9496
0.9511,0.9519,0.9438,0.9521,0.952
0.9521,0.9511,0.9487,0.952,0.9522
0.9518,0.9508,0.9495,0.9515,0.9525
0.9508,0.9506,0.9515,0.9519,0.9526
0.9512,0.9507,0.9498,0.9503,0.9519
0.9525,0.9514,0.9509,0.9511,0.9513
0.9511,0.9503,0.9502,0.952,0.9519
0.9515,0.9503,0.9481,0.9512,0.9516
0.9513,0.9522,0.9494,0.9518,0.9503
0.9518,0.9492,0.951,0.9514,0.9516
0.951,0.9488,0.9519,0.9487,0.9511
0.9509,0.9497,0.9505,0.9514,0.9511
0.9497,0.9493,0.9493,0.9516,0.9522
0.951,0.9492,0.9507,0.9483,0.9525
0.9491,0.9468,0.9481,0.9501,0.9509
0.9509,0.9477,0.9504,0.9516,0.9509
0.9509,0.9501,0.9498,0.9506,0.9515
0.9502,0.9498,0.9499,0.9509,0.9508
0.9483,0.9504,0.9506,0.9509,0.9509
0.9503,0.95,0.951,0.9514,0.9512
0.9489,0.9508,0.9501,0.9519,0.9517
0.9511,0.9499,0.9505,0.951,0.9522
0.95,0.95,0.9499,0.9493,0.9479
0.9507,0.9519,0.9486,0.9512,0.9509
0.9482,0.9503,0.9479,0.9509,0.9522
0.9506,0.9503,0.95,0.9485,0.951
0.9506,0.9505,0.9478,0.9514,0.9513
0.9504,0.95,0.9459,0.9499,0.9486
0.951,0.9479,0.945,0.9487,0.95
