0,1,2,3,4
0.999,0.9995,1.0,1.0,0.9975
1.0,1.0,0.9975,1.0,0.9995
1.0,1.0,1.0,1.0,1.0
0.998,0.999,1.0,0.998,1.0
1.0,0.999,0.999,1.0,0.9925
0.9995,1.0,0.9875,0.9995,0.9995
1.0,0.998,0.999,1.0,0.997
0.9985,0.999,0.9965,1.0,0.999
0.9995,0.997,0.999,0.9975,0.9965
1.0,0.9995,1.0,1.0,0.9965
0.996,0.9945,1.0,0.9975,0.9985
1.0,1.0,1.0,0.9975,0.991
0.997,0.998,0.999,0.993,1.0
1.0,0.9955,0.995,0.9975,0.9905
1.0,0.9845,0.9975,0.999,1.0
0.9995,0.997,0.9945,0.999,0.9995
1.0,0.995,0.9965,0.999,1.0
0.996,1.0,0.9895,0.9975,0.9955
0.9985,0.9965,1.0,0.997,0.999
0.9955,0.999,0.9975,0.9835,0.9975
1.0,0.992,0.9995,0.9975,0.999
0.993,0.994,0.9775,0.9835,0.996
1.0,0.983,0.9995,0.998,1.0
0.999,0.994,0.99,0.998,0.9885
0.999,0.998,0.997,0.9925,0.9975
0.9995,0.9925,0.998,0.9975,0.989
1.0,0.986,0.9785,0.9785,0.9875
0.997,0.995,0.9995,0.9985,0.981
0.9885,0.997,1.0,0.989,0.985
0.9955,0.9955,0.988,0.9955,0.996
0.991,0.995,0.9935,1.0,0.99
0.997,0.9835,0.995,1.0,0.9965
0.9945,0.9775,0.9875,0.996,0.997
0.9975,1.0,0.965,0.9945,0.997
0.9975,0.993,0.9935,0.993,0.9775
0.998,1.0,0.9955,0.977,0.996
0.996,1.0,0.999,0.996,0.992
0.9935,1.0,0.9875,0.9995,0.987
0.9965,1.0,0.998,0.9985,0.998
0.992,1.0,1.0,0.9935,0.966
0.9995,1.0,0.9985,0.995,0.9715
0.9985,0.999,1.0,0.981,0.9985
1.0,1.0,0.989,0.9785,1.0
0.999,1.0,0.9855,1.0,0.999
0.9785,1.0,0.9965,0.9995,0.976
0.99,1.0,0.9985,0.9905,0.983
0.9945,0.9915,0.9885,0.9955,0.974
0.9915,0.9885,0.9975,0.9925,0.9615
0.992,0.995,0.9985,0.984,0.97
0.991,0.989,0.9975,0.997,0.9945
