0,1,2,3,4
0.5245,0.616,0.508,0.5255,0.532
0.598,0.8315,0.5525,0.5655,0.6035
0.621,0.831,0.612,0.6125,0.6565
0.6465,0.8705,0.6185,0.7935,0.7035
0.66,0.9265,0.8615,0.8745,0.712
0.8395,0.937,0.9465,0.9335,0.8815
0.7915,0.9325,0.9555,0.9125,0.855
0.777,0.941,0.95,0.937,0.88
0.8625,0.9205,0.9755,0.867,0.912
0.863,0.821,0.916,0.9505,0.942
0.957,0.8665,0.9425,0.9105,0.9625
0.882,0.9625,0.904,0.9045,0.9515
0.959,0.9855,0.8665,0.978,0.9375
0.9765,0.9875,0.72,0.8455,0.969
0.966,0.993,0.808,0.9575,0.9525
0.983,0.962,0.748,0.9375,0.9765
0.9925,0.952,0.924,0.9455,0.8445
0.968,0.9885,0.825,0.9435,0.9615
0.9565,0.9715,0.989,0.972,0.9815
0.9865,0.991,0.859,0.9405,0.9245
0.9825,0.939,0.985,0.912,0.9755
0.993,0.9915,0.9415,0.928,0.8915
0.991,0.9645,0.988,0.903,0.952
0.9825,0.9895,0.971,0.926,0.959
0.9695,0.9825,0.982,0.8965,0.9885
0.978,0.9835,0.987,0.9395,0.974
0.9895,0.9775,0.962,0.938,0.991
0.973,0.9685,0.9895,0.951,0.9815
0.9795,0.97,0.9715,0.8965,0.993
0.983,0.9435,0.986,0.9895,0.991
0.9875,0.965,0.9755,0.903,0.9785
0.9835,0.98,0.9635,0.963,0.9865
0.981,0.9805,0.9755,0.968,0.991
0.9605,0.9895,0.9965,0.99,0.931
0.9915,0.9815,0.981,0.9935,0.987
0.9885,0.9875,0.9975,0.9965,0.988
0.972,0.9725,0.9645,0.9845,0.9815
0.984,0.96,0.9835,0.9755,0.992
0.992,0.9915,0.9795,0.9895,0.9905
0.962,0.9705,0.993,0.9665,0.993
0.9275,0.99,0.99,0.9855,0.986
0.986,0.9925,0.987,0.988,0.9815
0.968,0.991,0.996,0.9795,0.9815
0.974,0.9825,0.9905,0.975,0.986
0.974,0.996,0.983,0.9905,0.993
0.9935,0.9835,0.991,0.9835,0.989
0.992,0.9975,0.9945,0.979,0.993
0.9865,0.994,0.9805,0.9755,0.9845
0.9505,0.994,0.9825,0.994,0.9915
0.995,0.9955,0.9935,0.9905,0.992
