,MOL_molhash_id,MOL_smiles,EGFR,KIT,RET,LOK,SLK,CLS_EGFR,CLS_KIT,CLS_RET,CLS_LOK,CLS_SLK
0,d0a4aabb6c7436e20e615c345480cccf1082bdd0,O=C(Nc1n[nH]c2nc(-c3ccccc3)c(Br)cc12)C1CC1,1.0,31.0,74.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
1,165dc6f18fd91ef792df42d92e2b49b32ec4659c,O=C(Nc1n[nH]c2nc(-c3cccs3)c(Br)cc12)C1CC1,0.0,5.0,0.0,18.0,7.0,0.0,0.0,0.0,0.0,0.0
2,68ea90085fa6457ee7154a68c2ba5290cb1e25f7,O=C(Nc1n[nH]c2nc(-c3nccs3)c(Br)cc12)C1CC1,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1f1ccac92a895257b046dc6408405017a66141fe,O=C(Nc1n[nH]c2nc(-c3cccs3)c(Br)cc12)C1CCCC1,1.0,36.0,16.0,26.0,38.0,0.0,0.0,0.0,0.0,0.0
4,2c5328120721e7816c0caa3fa559c631e1a4facd,O=C(Nc1n[nH]c2nc(-c3nccs3)c(Br)cc12)C1CCCC1,32.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
5,16f3380aa83e9c9668bbf633b22c5fea4be9c1e4,c1ccc(Oc2ccc(Nc3ccnc4cc(-c5ccc(CNCCN6CCOCC6)o5)ccc34)cc2)nc1,39.0,79.0,5.0,30.0,8.0,0.0,0.0,0.0,0.0,0.0
6,beb36d06de690256b2900e3d4308994d036ae786,c1ccc(Oc2ccc(Nc3ccnc4cc(-c5ccc(CN6CCCCC6)o5)ccc34)cc2)nc1,55.0,96.5,11.0,39.0,36.0,0.0,1.0,0.0,0.0,0.0
7,d5c65de5800756901aa222867c0f052f1f1720ce,c1ccc(-c2ccc3c(-c4ccnc(Nc5ccc6c(c5)OCCO6)n4)cnn3n2)cc1,14.0,10.0,1.0,17.0,20.0,0.0,0.0,0.0,0.0,0.0
8,3eef80e9831f038021c2a01e8ddcae2937fc8def,CC(=O)Nc1cn2nc(Oc3cccc(NC(=O)c4cccc(C(F)(F)F)c4)c3)ccc2n1,58.0,100.0,100.0,90.1,21.0,0.0,1.0,1.0,1.0,0.0
9,7e62c087dcf9b12faeacb842cd4f3e3457cf9bff,CC(=O)Nc1nc2cnc(Nc3cc(NC(=O)c4cccc(C5(C#N)CC5)c4Cl)ccc3C)nc2s1,0.0,99.8,99.6,54.0,23.0,0.0,1.0,1.0,0.0,0.0
10,fa05b9ee3319512fb46e0c3b1ce888d89a331df5,CC(=O)Nc1nc2cnc(Nc3cc(NC(=O)c4cccc(CC(C)(C)C#N)c4)ccc3C)nc2s1,0.0,100.0,99.7,55.0,1.0,0.0,1.0,1.0,0.0,0.0
11,d4beb8b3bf88c2efa4206a370e3287019eb883ef,CC(=O)Nc1nc2cnc(Nc3cc(NC(=O)c4cccc(CCC#N)c4)ccc3C)nc2s1,6.0,99.7,51.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0
12,1fddecc247649e5a2bc4889099676abb0b7d459c,CC(=O)Nc1n[nH]c2ncc(-c3ccccc3)cc12,3.0,67.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
13,69623777038bdec989faccb06311e686e6d6b2e4,CC(=O)c1c(-c2ccncc2)[nH]c(-c2ccncc2)c1C,37.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,5ca26b880dfd5fc0bc867b4c38bfee91079e5da9,CC(=O)c1cccc(NC(=O)NC2CCN(c3ccnc(Nc4ccc(F)cc4)n3)C2)c1,18.0,49.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
15,b566bfbb13ef5915efcf0ffb3baf145d019ef98f,CC(C(=O)NC1CCN(c2ccnc(Nc3ccc(F)cc3)n2)C1)c1ccc(Cl)cc1,28.0,10.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0
16,098a4b08107171ff9c80aa4c5f378177802c7b85,CC(C)(C)c1ccc(C(=O)Nc2cn3cc(-c4ccccc4)ccc3n2)cc1,5.0,92.6,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0
17,e24d9bedc5292d00b7993fd0d6c13dff8faa2e0a,CC(C)(C)c1ccc(C(=O)Nc2cn3cc(-c4cccnc4)ccc3n2)cc1,17.0,91.5,14.0,79.0,19.0,0.0,1.0,0.0,0.0,0.0
18,9bb6f74122e7fdbeb10c48fa78b12dd261ac9531,CC(C)(C)c1ccc(C(=O)Nc2cn3cc(-n4ccnc4)ccc3n2)cc1,9.0,98.4,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0
19,7ec5a8ac848ff8f3f64d643dae1986e6817431e5,CC(C)(C)c1ccc(C(=O)Nc2cn3cc(Cl)ccc3n2)cc1,0.0,74.0,0.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0
20,73e76d1dbdd805487a4f446d6b02729177e3a32e,CC(C)(C)OC(=O)NC1CCCN(c2cc(-c3ccc4c(N)n[nH]c4c3)nc(N)n2)C1,27.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,af6ae3db9f301e92cf9cc859cef96af3e0e88e1a,CC(C)(C)c1ccc(-n2cnc3c(N)ncnc32)cc1,38.0,38.0,8.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0
22,8149fe18f5d75f6fc8987e32ebeba99413b1b0df,CC(C)(C)c1ccc2nccc(Nc3cccc(O)c3)c2c1,63.0,26.0,94.7,0.0,55.0,0.0,0.0,1.0,0.0,0.0
23,79df8e95f7f5341cdbcec09fe17feebb34e45bd0,CC(C)(C)n1cnc2c(N)ncnc21,39.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,9efd1abb517086fed3b1bf6d7fccfc3882386729,CC(C)N1CCC(n2cnc(-c3ccc(F)cc3)c2-c2ccnc(N)n2)CC1,10.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
25,c9baf640fe90f5d386799eba90cfc1ba47dd7c0e,CC(C)Nc1cc(-c2ccc3c(N)n[nH]c3c2)nc(N)n1,58.0,12.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
26,6391613fbb01492cb26a231f36b50a0cf18be27c,CC(C)Oc1ccc2c(-c3ccnc(Nc4ccc(N5CCN(C)CC5)cc4)n3)cnn2n1,50.0,91.1,56.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0
27,2b346bba6b36b0c5a9278e642fffa4332913694a,CC(C)S(=O)(=O)N1CCN(Cc2ccc3c(c2)nc(NC(=O)c2ccsc2)n3C[C@H](O)c2ccccc2)CC1,20.0,87.0,44.0,0.0,33.0,0.0,1.0,0.0,0.0,0.0
28,8e80eaaac2f76309e798cfbe221f439672db62dd,CC(C)c1cc(-c2ccc3c(N)n[nH]c3c2)nc(N)n1,17.0,9.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0
29,8911dcf67545e15dc2460383e296270a61e400f1,CC(C)c1ccc(O)cc1Nc1ccnc2ccc(C(F)(F)F)cc12,37.0,0.0,38.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
